RASMC_RNA_0H_1	RASMC_RNA_0H_0	RASMC_RNA_PDGF_2H_2	RASMC_RNA_PDGF_2H_0	RASMC_RNA_PDGF_2H_1	RASMC_RNA_PDGF_JQ1_2H_0	RASMC_RNA_PDGF_JQ1_2H_1	RASMC_RNA_PDGF_JQ1_2H_2	RASMC_RNA_PDGF_24H_1	RASMC_RNA_PDGF_24H_2	RASMC_RNA_PDGF_24H_0	RASMC_RNA_PDGF_JQ1_24H_2	RASMC_RNA_PDGF_JQ1_24H_1	RASMC_RNA_PDGF_JQ1_24H_0
Rprd1a	11.9801	9.13205	12.58	12.7224	15.2764	15.7214	16.3742	13.7347	9.53645	10.8083	9.92682	12.17	11.0797	13.003
Rprd1b	8.94644	9.08799	8.22882	6.74326	6.37234	4.85453	4.77619	4.95515	8.21971	9.11118	10.9332	5.45545	5.66648	6.3513
Rprm	0	0	0	0	0	0	0	0	0	0	0	0	0	0.132432
Rprml	0.304922	0.339848	0.316163	1.70529	3.34607	2.09438	1.54335	2.63485	1.77984	2.98112	3.88619	2.71155	2.25168	2.20663
Rps10	782.923	1155.3	798.088	996.387	1250.38	1479.07	1273.43	1425.86	1084.46	806.595	1178.17	1372.17	970.481	1041.75
Rps11	2171.28	2298.31	2280.28	2341.68	2234.77	1947.83	2448.3	2558.94	2022.72	1906.08	2116.16	2060.98	2282.92	2146.43
Rps12	25.8518	191.548	72.9789	169.852	14.9182	261.151	70.7612	15.9339	32.2899	82.1003	67.8642	31.9448	90.3963	207.419
Rps13	514.65	861.483	801.443	817.251	1774.09	909.718	793.521	1220.88	601.245	527.427	614.857	613.462	556.043	614.628
Rps14	941.997	1051.78	891.384	1504.62	1678.42	1039.03	1742.3	1542.11	688.294	681.371	1363.05	1060.74	818.444	1041.12
Rps15	1641.31	1445.1	2053.69	1694.31	2087.82	1710.93	1988.4	1951.66	1425.21	1432.61	1806.87	1388.21	1979.43	1709.52
Rps15a	1934.75	2161.54	1958.12	1142.86	1778.22	2329.43	2225.3	1341.74	1394.09	1406.5	1431.8	1436.09	1563.04	1510.64
Rps16	2707.17	2931.87	3097	3400.94	3076.3	3857.35	3586.95	3712.33	2212.37	2112.03	2268.28	2483.44	2873.54	2386.85
Rps17	523.209	858.595	1048.25	1491.14	1660.41	1632.15	1464.53	972.717	445.849	453.256	1307.22	673.918	620.566	1676.87
Rps18	662.948	2838.4	741.195	844.372	562.864	941.728	718.07	1252.23	1126.88	844.354	2177.29	742.802	1200.1	1157.99
Rps19	159.877	196.921	222.324	328.903	170.135	321.437	223.569	296.385	152.945	132.644	182.197	193.126	183.091	162.765
Rps19bp1	24.4789	17.1699	28.4271	21.6605	8.25199	23.5035	21.4758	23.0138	23.7759	20.7515	26.3198	28.9867	32.2274	40.7115
Rps2	495.649	628.531	708.11	713.566	1313.61	871.268	980.495	983.083	516.77	572.799	671.508	817.915	1459.72	1012.98
Rps20	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rps21	2195.36	2482.03	2862.11	3011.17	3417.51	3267.75	3554.08	3388.97	2299.21	2058.51	2736.02	2512.66	2739.3	2427.93
Rps23	923.641	1681.34	888.974	870.87	1814.58	1286.39	1080.18	1141.55	833.15	1076.3	1407.5	811.587	1052.05	1292.28
Rps24	2665.34	2870.1	2727.23	3091.9	2647.96	3475.26	3199.31	3339.8	2287.75	2280.53	2511.4	2502.87	2812.2	2789.67
Rps25	780.207	770.767	812.099	797.007	942.465	770.152	970.688	867.464	620.679	652.835	716.66	582.341	566.508	626.21
Rps26	399.377	372.451	544.853	481.943	497.827	534.106	564.098	581.467	319.019	319.825	395.621	405.997	435.474	432.651
Rps27	2316.68	2628.5	2659.51	2604.83	2722.58	3258.59	3052.1	3159.29	1746.59	1654.79	1782.09	1952.58	1970.92	1870.04
Rps27a	336.703	172.302	254.295	315.662	479.512	257.511	423.385	230.454	144.357	178.581	524.37	147.74	169.018	146.765
Rps27l	280.297	337.634	321.784	370.6	312.191	276.042	237.493	247.755	389.782	396.588	413.03	210.683	224.047	225.507
Rps28	1072.66	1270.73	1337.78	1590.75	2043.47	2297.35	2230.84	2382.01	1254.31	1246.53	1789.73	1209.87	1408.48	1387.37
Rps29	2805.65	1088.33	939.13	3225.01	981.738	1101.87	3319.8	2464.83	839.173	707.997	1680.79	1922.98	967.37	1106.65
Rps3	1468.9	1706.09	1603.79	1758.68	1751.07	1994.18	1957.05	2043.96	1429.7	1339.38	1374.44	1900.21	2053.63	1891.46
Rps3a	1371.02	2724.12	2508.14	1695.71	1477.45	3133.02	2596.9	1077.3	1689.63	1164.01	1978.48	2135.15	1076.28	2271.56
Rps4x	1665.89	1722.74	1665.78	1797.29	1761.16	1886.9	1898.63	1913.96	1298.14	1260.42	1408.2	1228.54	1409.15	1349.68
Rps4x-ps1	0.169215	0.251463	0.155959	0.0700994	0.0990339	0.0815626	0.0951639	0.19496	0	0.213466	0.130705	0.129442	0.0595028	0.222647
Rps4y2	2.17442	0.745685	1.38743	1.24723	0.146837	0.120932	0	0.144533	1.36684	1.58252	0	1.53538	0.970467	0.990354
Rps5	1295.19	1293.87	1387.9	1495.42	1297.05	1605.33	1441.62	1583.47	1077.38	1022.89	1196.3	1172.76	1311.82	1252.51
Rps6	0.613332	0.303815	0.14132	0.6352	1.43582	0.591258	0	0.883306	0.596672	0.38686	0.236874	0.586463	0.107836	0.6725
Rps6ka1	0.90521	0.750804	4.30728	2.77321	1.8111	4.77917	5.78924	4.98423	2.31009	3.532	3.29273	2.51212	2.93139	2.35438
Rps6ka2	1.21302	1.01506	0.586127	0.380538	0.661675	0.936622	1.43059	1.60788	1.12736	1.03996	0.709536	2.24318	1.77658	2.46379
Rps6ka3	10.4415	8.02801	21.8447	18.9738	12.7467	30.3823	25.7941	23.5435	13.6103	15.7579	14.6459	13.0099	13.8306	10.7604
Rps6ka4	30.8197	30.1883	40.1289	37.7255	27.2597	31.4492	25.3759	39.0085	29.8964	26.9041	28.9627	13.6032	14.576	13.8502
Rps6ka5	1.28777	2.27903	0.938713	1.13484	2.24046	2.53927	1.87638	1.84112	1.39401	1.25531	1.54629	0.805976	0.740993	0.831795
Rps6ka6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rps6kb1	23.8433	21.2769	27.8823	22.4341	24.3126	24.2747	29.2155	29.1136	17.8129	22.2528	17.8492	27.932	27.4787	26.1885
Rps6kb2	16.5405	18.5377	19.3196	22.8621	18.2287	24.5457	16.3841	25.7201	14.1019	13.645	13.2183	17.3031	20.6971	21.3478
Rps6kc1	7.98123	8.10848	17.0077	14.3203	6.06938	11.688	13.1225	15.1111	11.1571	11.3509	9.97366	12.8522	12.4059	13.4222
Rps7	1742.28	1783.8	2035.58	1234.21	1843.81	1995.77	2279.08	1243.33	906.458	797.736	913.015	973.857	1476.61	1266.66
Rps8	2459.88	2714.05	2682.24	2884.38	2904.92	3155.62	3011.45	3264.3	2088.23	1983.32	2053.41	2422.08	2625.18	2481.66
Rps9	51.6871	61.6148	0	0	87.3964	54.7554	60.2844	65.4411	0	41.6735	54.1576	0	0	51.8931
Rpsa	1971.94	2245.89	2149.38	2363.79	1835.24	2485.23	2390.77	2511.91	1789.82	1714.56	1576.47	1807.2	2077.07	1925.67
Rptor	5.19692	6.26786	3.85264	3.21762	3.70271	1.68811	3.0815	2.74973	6.50653	6.19962	6.79574	6.24397	6.92242	7.60594
Rpusd1	7.68316	7.70981	2.46383	3.29768	3.96349	5.55498	7.34995	5.81773	7.90598	8.29343	9.95726	9.31576	9.73447	11.3077
Rpusd2	0	0	0	0.0256243	0	0	0	0	0.120351	0.416164	0	0.118291	0.261009	0.27129
Rpusd3	5.92216	8.04845	1.32956	2.2017	4.44354	0.87831	1.96415	1.66205	8.27262	6.64072	8.44497	7.55029	8.65022	5.26137
Rpusd4	8.83942	10.4632	4.97279	4.42273	1.74683	2.60065	1.54945	2.57913	6.34339	5.93752	7.35973	5.3567	6.01473	4.63209
Rqcd1	13.7346	10.9413	17.4301	18.0107	16.4402	11.096	10.652	12.1535	10.6363	14.4344	12.8971	13.196	14.5093	16.6912
Rrad	8.48431	12.8255	21.841	23.2699	20.8892	14.2427	16.6178	16.011	11.84	9.47275	7.90929	0.391644	0.514382	0.641572
RragB	0	0.0888313	0	0	0	0	0	0.103307	0	0	0	0	0	0
Rraga	58.2458	55.4614	76.5737	74.7907	81.5038	115.498	120	118.21	64.6094	67.7099	58.2662	93.9697	92.0044	99.4265
Rragc	61.653	62.7366	72.7459	67.0314	69.73	66.5301	61.051	56.62	70.0985	69.7354	65.2078	80.1708	80.4303	75.4378
Rragd	10.0924	12.5105	5.37687	3.60986	3.19823	1.49498	0.913668	2.04197	11.782	10.3716	13.3475	5.25353	4.20674	4.08095
Rras	154.27	153.241	131.926	143.209	129.324	103.787	98.7257	111.453	138.822	130.189	130.097	92.5921	96.523	88.408
Rras2	60.3477	59.8161	89.6037	91.7972	65.0268	125.579	127.533	130.586	29.6815	31.2477	33.2871	52.9157	59.1392	54.9203
Rreb1	2.6913	2.89765	1.50672	1.20704	1.19759	0.450275	0.800552	0.717531	2.72639	2.92744	3.5563	1.52277	1.58771	1.66813
Rrh	0.742314	0	1.39942	0.587068	0.236968	1.0734	0	0	0.23634	0.17026	0.703687	0	0	0.177584
Rrlt	0.250836	0	0.173388	0	0	0	0	0.108374	0.0732067	0.158215	0	0.215862	0.529221	0.24753
Rrm1	46.2793	42.5263	37.8162	38.9479	28.6019	30.4213	22.8545	27.7391	12.6359	11.7312	13.424	8.12153	8.36273	8.94047
Rrm2	57.2845	59.9845	39.9795	41.8259	40.379	56.2755	50.9209	44.7477	11.5502	11.9832	13.262	2.05312	0.0555172	0.796315
Rrm2b	6.22401	4.71528	1.01231	1.06168	4.82112	1.76471	4.94157	5.3782	6.41112	7.77462	2.96935	8.89201	9.14064	7.0653
Rrn3	9.78784	10.0283	8.7215	8.69548	14.2314	11.5549	7.61171	8.02823	11.8504	12.1545	8.01802	11.3625	11.5959	9.91039
Rrnad1	9.21765	10.0253	4.52478	5.56175	9.90976	6.18149	3.71885	6.63751	6.58899	6.10896	7.11985	9.92515	8.27937	11.4252
Rrp1	30.4974	35.1922	34.2301	41.778	31.3704	35.5247	34.0426	50.6429	29.3094	27.7371	27.6166	46.7023	54.1078	51.5778
Rrp15	26.4668	37.6293	33.9513	43.5668	41.8895	28.4275	21.8974	23.8597	25.2528	26.9672	22.1142	33.7999	34.699	38.5074
Rrp7a	11.9721	13.6051	15.7724	14.4762	11.0541	15.7232	12.7609	16.82	12.1841	11.9579	12.1903	17.7129	18.3352	19.3663
Rrp8	7.78697	5.98041	9.90595	7.35979	4.82543	6.62357	4.80247	5.31516	4.73625	5.7784	4.47317	8.29679	6.41982	8.13638
Rrp9	22.425	21.8567	59.4313	57.4877	54.5163	73.2557	57.1344	71.5478	21.0916	24.796	25.1931	47.8681	53.6341	52.2028
Rrs1	18.5165	22.2691	46.4944	41.7961	44.9854	54.92	37.9239	47.1075	17.4438	17.872	15.4166	28.559	29.1637	25.6098
Rs1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rsad1	8.97144	7.47274	4.34496	4.11895	4.1135	0.743665	0.867678	2.07386	4.80304	5.04602	8.80554	4.852	4.27996	5.56381
Rsad2	0	0	0.847956	0.829528	1.2036	0.0260859	0.060872	0	0.252718	0.477905	0.250817	2.77373	2.24561	2.4923
Rsb66	0	0	0.378899	0	0	0	0	0	0	0	0	0.314477	0.144561	0.180306
Rsbn1	1.90885	1.79376	2.53546	1.98853	2.11932	2.05663	2.73112	1.76264	1.76961	1.71158	1.9406	2.92036	2.25058	2.03143
Rsbn1l	7.6899	8.66332	5.06373	4.26604	3.90571	5.49053	5.69433	5.07066	7.00716	7.62035	7.44326	7.0633	6.53427	6.08095
Rsg1	0	0	0	0	0	0	0	0	0	0.73641	0	0	0	0
Rsl1d1	0	0.24058	0	0.176047	0	0	0.17071	0.139891	0	0.178698	0.0234464	0.0232199	0.298869	0
Rsl24d1	37.8881	34.5627	59.1865	57.8095	28.7331	49.5657	51.9769	47.8934	28.739	28.0979	29.8811	44.8191	43.0357	39.0547
Rsph1	0	0	0	0.85799	0	0	0	0.530275	0.5373	0.483841	3.0218	0.79216	0.728292	0.302791
Rsph10b	0.0686349	0	0.253031	0.0568656	0	0.396988	0.617586	0.118616	0.0267082	0.028861	0.29158	0.0525025	0.0724041	0
Rsph6a	0	0	0.199109	0	0.0505737	0.24991	0	0	0.0672529	0.0363369	0	0.0991532	0	0.189499
Rsph9	0.355941	0	0.492084	0.663537	0	0	0	0	0.103882	1.0103	0	0.102104	0.375489	1.63917
Rspo1	14.2896	15.0642	9.3429	10.9285	13.0092	8.00616	7.00595	7.80967	2.37632	2.31107	4.15086	0.607271	0.558309	0.803493
Rspo2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rspo3	0.913629	0	0.105256	0.851582	0	0.880746	1.15607	0.131579	1.15546	1.15254	2.02889	0.262081	0.963803	0.200353
Rspry1	10.75	10.4755	12.7096	9.63667	10.4686	12.2319	13.5779	9.64446	8.22925	7.29931	3.53918	8.59397	8.33486	9.73881
Rsrc1	10.1481	14.319	12.1165	12.0386	14.668	8.67116	5.53417	8.23756	13.1632	11.8967	7.12594	9.23304	14.1117	10.4527
Rsrc2	38.8096	43.3402	50.9325	52.0237	57.9453	62.808	56.9539	53.3508	38.1831	37.3706	36.1474	47.4298	48.9353	51.1506
Rsrp1	143.358	137.754	100.255	92.7306	78.1456	332.647	358.239	314.121	136.78	123.818	136.453	289.842	251.134	293.669
Rsu1	78.8987	80.6419	73.246	68.9228	66.042	62.6824	64.39	68.9695	56.8705	55.8993	57.984	33.3174	34.1637	33.075
Rtbdn	0.186706	0	0	0.174026	0	0	0.236251	0.161334	0.0544904	0	0	0.321348	0.0492399	0.552737
Rtcb	66.5589	70.0138	97.5246	91.4853	98.7002	95.8223	84.9765	85.7182	61.9561	65.2901	71.569	78.5106	86.717	86.8063
Rtcd1	73.2031	73.1803	80.7854	84.3075	75.2695	56.8439	69.6393	65.2749	77.6436	84.1031	100.14	73.755	82.2107	78.2146
Rtdr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rtel1	18.0103	17.2571	8.90745	9.17548	8.14499	9.22908	9.3102	9.32719	12.1055	14.1713	15.1234	18.5085	14.4414	18.0921
Rtf1	17.5689	18.6761	16.0546	16.2917	18.4881	25.92	23.0304	25.0438	14.3221	13.8767	12.7781	21.2545	21.7956	23.0416
Rtfdc1	33.6601	32.5396	23.2894	29.3183	23.0111	23.8049	22.8129	25.4122	34.0333	31.6552	35.7772	41.0434	43.703	39.1996
Rtkn	0	0	0	0	0	0	0	0	0	0.0325916	0	0	0.0272544	0
Rtkn2	2.08185	1.42619	0.530719	0.642236	1.11472	0.896711	1.14589	0.688955	0.534335	0.689161	1.06063	0.220242	0.140182	0.116563
Rtn1	0.15327	0.313181	0.0529735	0.0238102	0	0	0	0	0.0670982	0	0	0.0219834	0.0606328	0
Rtn2	0.951457	0.870102	0.708279	1.27341	2.31304	0.68791	0.0617404	0.505944	0.512647	0.23082	0.847984	0.293927	0.154417	0.337048
Rtn3	69.0609	69.3923	63.5928	68.067	75.3733	95.2961	86.124	97.0744	77.4813	79.2407	88.364	101.818	101.975	107.983
Rtn4	113.269	122.425	237.56	243.561	242.132	371.111	375.153	351.105	265.102	288.959	266.076	289.827	304.333	287.199
Rtn4ip1	5.23107	3.69002	3.79902	3.86773	5.92923	3.63847	3.12806	3.37584	5.29511	4.97013	7.09654	6.42016	6.07716	5.40173
Rtn4r	2.2572	1.41627	1.31757	1.55845	0.528415	0.217596	1.10016	0	0.936914	0.506216	0.697399	0.575552	0.105829	0.197996
Rtn4rl1	5.37384	6.36507	4.35886	4.55914	4.66536	4.01435	2.14116	2.9472	6.45863	6.95421	5.21534	2.8669	2.92861	2.76566
Rtn4rl2	0	0	0	0.0690173	0	0	0	0	0	0	0	0.0637219	0	0
Rtp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rtp2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rtp3	0	0	0	0	0	0	0	0	0.0812598	0	0	0	0	0
Rtp4	0	0	4.26369	3.965	3.67217	0.871419	0	1.04148	0.579369	0.134157	1.06788	0	0	0
Rttn	1.19368	1.10195	0.400059	0.505734	0.42869	0.876116	0.289882	0.203167	0.33782	0.330826	0	0.446179	0.486522	0.499737
Rufy1	12.1462	10.889	15.4527	14.8481	11.208	13.3612	12.7816	14.4234	16.7892	17.6411	12.49	15.6469	18.7875	17.6483
Rufy2	0.250028	0	0.04938	0.0443901	0.0627127	0.0516491	0	0	0.0416977	0	0.331072	0.0409842	0	0
Rufy3	8.41493	2.76848	8.43361	6.71127	8.10723	13.1525	11.0257	8.42674	5.602	4.15386	3.89374	6.49011	6.55095	6.97396
Rundc3a	0.330722	0.393177	0.0457218	0.493219	1.2194	0	0	0.457246	0.579129	0.417207	0	0.986649	1.77931	0.783274
Rundc3b	0	0	0	0	0	0	0.152045	0	0	0	0	0	0	0
Runx1	15.5726	18.9085	57.8917	48.4228	67.2985	31.8092	35.8855	37.47	17.1819	17.9679	17.8227	14.5635	10.5846	12.2023
Runx1t1	5.24295	5.37628	2.78163	1.80328	0.0679362	2.01424	1.37091	1.73863	3.88469	3.56326	4.75208	0.688167	0.734729	0.81458
Runx2	0.834697	0.995829	2.6005	2.10977	2.49762	0.97576	4.17419	2.0723	3.88405	4.50856	3.54775	6.02865	5.46932	6.29578
Runx3	0.118608	0	0.98384	0.81072	0	0.257263	1.00054	0.409958	0.761547	0.299248	1.09937	0.068047	0.125121	0
Rup2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ruvbl1	35.0552	36.136	32.3293	39.3749	38.799	12.6405	18.0425	18.0215	32.2727	32.1871	35.5259	22.4029	26.6352	30.01
Ruvbl2	31.8116	41.3043	43.6425	38.3247	46.0222	36.495	34.7766	40.742	26.6212	32.1453	29.3357	46.1392	50.1668	52.214
Rwdd1	67.9964	72.8804	84.9298	97.5196	60.3401	68.5706	78.6367	66.0209	71.2003	67.4498	74.2534	63.2123	86.2011	77.4347
Rwdd2a	0.420089	1.87282	0.322648	0.174026	0.0819528	0.13499	0	0.645335	1.47124	0.883238	1.18977	0.374906	0.787838	0.0614152
Rwdd2b	5.66213	4.62783	5.349	4.37846	1.87781	3.41147	3.3435	3.0987	4.77389	4.72218	5.02954	6.06377	5.90671	5.58752
Rwdd3	4.7253	5.5096	1.40703	1.1745	2.04221	1.05121	0	1.13072	3.5644	3.20975	0.673826	3.08634	1.76385	1.62608
Rwdd4	32.9079	36.2294	26.5989	28.7441	33.3015	33.5761	43.2808	29.3203	31.6468	33.9968	33.8065	32.8276	38.1699	36.9553
Rxfp1	0.530728	0.744874	0.122287	0	0	0	0	0	0.413049	0.85549	0.170809	0	0	0
Rxfp2	0	0	0.0420392	0	0	0	0	0	0	0.0767206	0	0	0	0
Rxfp3	1.84232	2.07184	1.51442	1.17575	1.74848	0	0	0	1.27882	1.00501	1.73072	0.0571335	0.105054	0
Rxra	11.9133	12.8618	8.16461	5.25159	4.20127	4.34352	5.66911	7.30284	19.8511	17.2123	25.2466	10.5736	10.2044	11.053
Rxrb	19.9095	20.8823	13.298	11.3865	10.9445	19.3095	18.0417	14.1624	16.9692	17.998	22.3827	22.1356	20.9178	23.1912
Rxrg	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rybp	8.91955	8.00341	26.5184	25.7181	21.8923	63.6633	59.0229	55.6055	8.88144	9.30532	9.38678	15.7591	14.928	14.8832
Ryk	78.5039	80.129	83.2013	74.8418	68.6116	70.4245	62.0176	59.5858	89.8859	87.379	84.1044	67.902	71.8465	74.0492
Ryr2	0.599871	0.684806	0.537043	0.383379	0.780367	0.206148	0.199188	0.309344	4.12593	4.42001	3.97129	0.240724	0.104457	0.110242
S100a1	22.9433	7.23228	9.61176	19.0091	0	6.03207	22.2869	14.4185	17.8561	14.9101	0	11.9663	16.1355	0
S100a10	628.267	719.864	1715.45	1787.18	1432.79	3091.32	3060.12	3123.18	1021.3	1078.83	1177.23	1985.11	2291.99	2194.62
S100a11	4454.35	4419.39	5470.97	5770.5	5842.12	6226.34	5625.35	6380.68	4690.17	4641.1	5102.6	3516.43	3668.73	3572.92
S100a13	41.9604	43.6165	42.9812	47.8246	54.5863	52.5015	39.9818	46.2151	65.9899	64.4523	81.8668	58.8736	65.3651	58.0706
S100a16	63.2506	66.5135	98.9212	84.0473	108.8	45.4032	34.7646	55.9596	64.3228	65.8893	53.3448	49.0188	60.1154	53.8267
S100a3	0.655791	3.11853	2.17589	3.58603	6.67819	1.70691	0	1.81335	1.83738	2.48185	5.47066	1.35445	1.52197	1.20801
S100a4	3397.47	3578.57	3511.52	4043.1	3756.17	4206.99	3425.45	4145.3	4006.54	4135.86	4744.52	4997.42	5360.59	5698.75
S100a5	0	0	0	0.313683	0	0	0	0	0	0	0	1.44808	2.66265	1.32841
S100a6	4338.47	4600.98	4601.35	5670.09	4621.67	8258.05	7016.89	7661.61	4736.73	4733.49	4953.79	13168.7	14096.2	14362.8
S100a7a	0.485001	0	0	0.401834	0	1.40264	0	1.67637	0	0.203943	0	0	0	0
S100a8	0	0	0	0	0	0	0	0	0	0	0	0.453011	0	0
S100a9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S100b	0	0	0	0	0	0	0	0	0.111447	0	0	0.0547702	0.151063	0
S100g	0.906686	0	1.67131	0	0	0	4.58914	0	2.46976	2.28757	5.25253	0.346786	0	0
S100pbp	11.9373	13.3129	8.94308	7.76311	6.51801	10.0934	12.9017	7.99086	11.7818	11.3013	10.4826	10.815	10.1072	11.0269
S100vp	0.963477	3.65899	0.591997	1.99566	0	0.928801	2.16737	1.66509	1.37472	0.945334	0	0.491343	0	0
S100z	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1pr1	5.31988	8.36615	20.2788	20.4442	22.5349	4.10771	3.96487	2.4993	4.00966	3.51841	2.81258	0.800063	0.626586	0.883457
S1pr2	24.3842	19.6578	19.2538	15.9307	17.3874	5.26111	4.34976	7.41216	21.8279	22.5842	22.8083	9.53836	10.4723	9.76466
S1pr3	31.2695	32.6612	72.1736	69.5929	77.2095	17.3588	17.6764	16.6158	28.2383	26.139	31.7113	13.1146	10.1614	10.6878
S1pr4	0	0	0	0	0	0	0	0	0	0.0743905	0	0.0676636	0	0
S1pr5	0	0	0	0.0386167	1.20024	0	0	0	0	0.117595	0.324014	0	0	0
ST7	10.3585	11.557	16.6849	15.9614	20.2267	4.85287	5.49879	4.62879	11.9042	9.36286	9.30966	8.81243	8.27213	10.2326
Saa4	0.0397326	0	0	0	0	0	0	0	0	0	0	0	0	0
Sacm1l	34.4828	36.9421	29.2217	34.346	37.281	70.053	54.696	53.9274	32.2178	36.5663	29.3611	55.3224	52.8557	49.7865
Sae1	67.3915	65.0391	67.8313	56.5119	56.1351	58.5114	66.1257	64.1601	60.6677	65.7409	68.2423	66.0423	74.0402	71.4813
Safb	32.8448	38.6837	24.614	26.767	24.5189	16.96	16.7986	18.0824	33.8612	30.47	26.2742	34.7583	35.472	34.806
Safb2	20.3849	20.5848	15.4986	15.6113	15.3288	24.666	19.0161	20.2455	18.3364	18.5172	15.3718	28.0867	29.2042	31.1195
Sag	0	0	0	0.29684	0	0	0.483573	0.82557	0	0	0	0	0	0
Sall1	0.285896	0.0738883	0.635833	0.741511	1.09123	0.82682	0.293604	0.451125	0.478868	0.658595	0.705698	0.0998401	0.0786775	0.0981319
Sall2	3.55921	2.37101	3.13897	3.12683	5.43027	0.674391	0.517665	1.08174	4.97172	4.58285	5.17605	1.32376	1.19114	1.55026
Sall3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Samd10	2.58199	2.69404	1.13922	0.819281	6.55889	0	0	0.284822	2.50116	3.04928	5.79214	0.630351	0.753387	1.59022
Samd11	6.52788	7.656	3.58333	4.53359	2.80916	8.19007	6.10062	5.80668	3.24999	2.3413	4.85685	3.34125	2.53175	3.4946
Samd12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Samd14	0.191254	0.0710533	0.297456	0.772483	0	0.276555	0.524345	0.289211	0.251179	0.0301584	0	0	0.0252196	0.0629112
Samd15	0.326421	0	0	0.180298	0	0	0	0.188041	0.254043	0.27452	0.504265	0.249697	0.306086	0.143164
Samd3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Samd4a	18.7905	16.4592	26.1959	25.1468	18.7336	38.1639	49.5517	45.1049	10.0596	10.159	11.2907	7.01438	5.85393	6.58908
Samd4b	12.3059	9.58749	28.9877	23.5343	23.835	26.3462	28.5476	28.4423	18.1318	17.5775	19.3278	24.1619	24.3407	23.7569
Samd5	1.52413	1.62917	9.64826	7.1779	13.7087	6.45709	9.60906	5.0832	4.37016	5.86929	5.88631	2.48519	2.42585	2.88496
Samd7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Samd8	5.32507	5.25282	8.18686	7.93008	7.97935	15.533	25.0938	19.9924	9.59271	6.89132	8.35043	17.0663	13.0752	13.2278
Samhd1	2.61874	4.9607	2.54619	3.21876	3.53683	6.82444	13.8858	10.7921	1.9485	1.88774	4.26778	4.7879	7.28585	6.32332
Samm50	51.2456	55.0501	43.5884	47.4955	36.4475	40.1908	22.7871	34.8248	54.4502	53.0867	51.8267	56.2095	60.0156	54.4559
Samsn1	0	0	0	0	0	0	0	0	0.28608	0.30914	1.49062	0.0702963	0.0646286	0
Sap18	103.192	80.0931	113.584	124.842	99.053	142.406	164.859	180.041	80.567	102.539	103.061	122.805	155.084	121.507
Sap30bp	15.9333	14.3063	16.7409	16.6751	16.7261	14.7455	13.0731	13.971	15.5462	15.5721	12.631	17.8975	25.1948	18.1398
Sapcd1	0.193451	0	0.133722	0.240418	0	0.839198	0	0	0.112918	0.122019	2.24137	0	0.714262	0
Sapcd2	10.7506	9.70688	6.3338	6.65212	5.01751	11.1507	13.1633	12.4645	3.60092	3.26171	2.68037	7.02656	6.8907	9.19139
Sar1a	123.668	130.204	170.969	182.381	159.815	162.082	148.717	162.844	120.162	125.646	132.236	91.3873	100.865	95.9977
Sar1b	58.449	71.1439	74.2484	84.2682	64.8142	97.1217	98.0716	97.911	58.7318	58.3724	59.9979	73.9787	88.7699	64.4249
Saraf	100.93	105.497	141.965	141.479	131.346	165.319	177.734	175.204	80.6039	82.9465	73.4503	132.599	138.529	132.75
Sardh	22.7248	23.3696	16.7261	13.71	14.611	10.1821	11.016	8.29715	22.095	20.4036	18.8385	8.76515	9.22895	9.37722
Sarm1	1.43484	2.46392	0.793455	0.851969	2.23931	2.88166	3.63117	2.75522	2.36366	1.93072	1.82868	2.45127	2.65727	3.62897
Sarnp	80.6087	93.6315	89.1338	98.3563	81.0079	108.27	96.7404	88.8396	87.4091	91.0062	82.4256	91.4218	89.1853	99.5702
Sars	144.823	150.464	203.892	191.87	166.167	169.103	160.047	161.326	165.102	159.124	153.934	262.185	302.32	270.866
Sars2	5.20655	5.48739	2.09303	2.93702	0.842829	4.6454	0.498396	3.38223	3.70724	3.72657	5.94686	7.41473	7.36226	7.57938
Sart1	25.8743	40.1291	40.4192	34.2781	30.8087	35.0216	39.6208	34.1841	32.7817	32.4417	34.3003	32.8236	37.2157	34.3555
Sart3	12.871	14.1315	14.2153	13.4267	10.1945	13.1009	13.3143	11.4015	10.9755	11.1118	15.8499	13.366	14.6967	13.7894
Sash3	0	0	0	0	1.41156	0	0	0	0	0.032716	0	0	0	0
Sass6	3.52375	1.11217	1.25022	1.66644	1.25927	0.631287	0.420892	0.916162	1.27414	1.14081	2.09554	1.10921	0.394754	0.820606
